Order Date,Region,Category,Sales,Profit
2024-04-12,South,Office Supplies,1561.59,311.09
2024-05-01,West,Office Supplies,1733.69,347.22
2024-05-31,Central,Office Supplies,1446.78,411.81
2024-07-10,South,Technology,1472.63,76.23
2024-12-10,West,Technology,345.11,42.46
2024-09-27,East,Technology,488.82,87.28
2024-11-15,East,Technology,1636.57,266.15
2024-09-30,South,Technology,1942.45,245.05
2024-02-22,West,Office Supplies,1369.69,277.36
2024-09-20,West,Technology,629.97,135.84
2024-01-02,East,Office Supplies,1139.72,65.91
2024-08-05,East,Furniture,1854.05,429.8
2024-09-27,West,Office Supplies,100.0,13.13
2024-07-26,Central,Furniture,1177.63,343.06
2024-07-06,East,Office Supplies,1606.37,110.26
2024-11-22,East,Furniture,594.04,31.79
2024-03-21,Central,Technology,1459.03,410.83
2024-02-10,South,Technology,1085.29,80.15
2024-03-02,East,Technology,1534.49,417.08
2024-08-14,West,Technology,1828.75,348.05
2024-09-11,West,Office Supplies,1424.22,110.69
2024-06-27,West,Technology,762.68,135.1
2024-08-09,West,Technology,1301.14,131.11
2024-01-13,West,Office Supplies,330.83,93.43
2024-02-14,West,Office Supplies,918.5,96.08
2024-12-05,South,Furniture,1616.81,443.04
2024-08-18,South,Office Supplies,1298.9,65.11
2024-08-20,East,Office Supplies,1072.84,183.68
2024-08-12,West,Office Supplies,1886.39,246.74
2024-04-05,Central,Furniture,139.14,15.79
2024-09-24,West,Furniture,608.75,73.79
2024-03-21,West,Technology,993.56,57.89
2024-08-11,South,Office Supplies,298.34,51.42
2024-06-08,Central,Furniture,170.9,24.34
2024-09-11,South,Furniture,1967.01,294.47
2024-08-27,South,Office Supplies,1021.32,228.73
2024-09-15,Central,Technology,51.61,9.19
2024-05-26,East,Office Supplies,1881.64,281.1
2024-02-08,South,Office Supplies,688.72,53.97
2024-05-30,East,Technology,557.78,52.29
2024-04-21,Central,Furniture,491.29,36.0
2024-05-19,Central,Technology,462.63,55.39
2024-05-26,Central,Technology,2130.36,521.87
2024-04-25,West,Office Supplies,1798.12,362.51
2024-08-14,East,Technology,2337.11,282.74
2024-12-03,East,Furniture,1988.97,186.93
2024-03-08,West,Office Supplies,1495.52,317.66
2024-05-14,Central,Office Supplies,1089.66,193.09
2024-01-22,West,Technology,950.72,259.56
2024-10-09,East,Furniture,1293.76,281.04
2024-11-12,East,Furniture,1539.42,93.75
2024-06-20,South,Technology,2196.7,313.12
2024-08-20,South,Office Supplies,1110.0,214.31
2024-07-06,South,Office Supplies,776.34,204.01
2024-09-12,East,Furniture,795.44,207.65
2024-11-18,Central,Office Supplies,1233.86,367.09
2024-05-06,East,Technology,1780.96,399.39
2024-10-25,Central,Furniture,600.06,92.98
2024-11-01,South,Technology,1233.09,216.26
2024-06-21,West,Office Supplies,799.6,50.13
2024-05-22,East,Office Supplies,1160.78,68.47
2024-06-01,West,Technology,2015.37,534.28
2024-10-31,West,Technology,872.14,71.31
2024-09-20,South,Office Supplies,1249.55,89.14
2024-12-30,West,Furniture,1402.03,118.6
2024-05-23,South,Furniture,652.68,162.38
2024-11-14,East,Technology,611.05,58.71
2024-11-13,South,Technology,988.58,92.26
2024-01-01,East,Office Supplies,196.81,18.84
2024-08-24,West,Technology,1774.1,334.57
2024-10-04,Central,Office Supplies,1136.41,101.89
2024-03-26,West,Office Supplies,101.55,6.11
2024-08-25,South,Office Supplies,44.15,10.63
2024-12-06,East,Office Supplies,873.36,130.68
2024-01-10,South,Technology,635.01,34.18
2024-05-26,East,Technology,1584.96,143.81
2024-10-06,South,Technology,2082.87,435.53
2024-12-05,Central,Furniture,1290.14,212.31
2024-06-27,South,Technology,1971.18,419.61
2024-02-12,West,Office Supplies,210.55,11.49
2024-08-29,Central,Office Supplies,644.76,168.42
2024-03-30,East,Office Supplies,997.11,222.58
2024-04-23,Central,Technology,1767.35,443.38
2024-09-05,East,Furniture,1141.36,221.4
2024-04-08,East,Furniture,1555.06,210.25
2024-07-08,Central,Office Supplies,1362.89,320.25
2024-12-20,West,Technology,1218.54,312.69
2024-12-07,West,Office Supplies,116.44,33.73
2024-03-16,East,Technology,1628.13,277.81
2024-05-23,East,Office Supplies,664.04,144.85
2024-02-22,South,Technology,229.8,39.89
2024-08-10,West,Technology,1315.65,297.94
2024-08-26,West,Technology,1488.3,112.04
2024-01-07,East,Office Supplies,799.34,218.2
2024-07-12,West,Office Supplies,1973.41,283.32
2024-11-16,South,Office Supplies,1816.31,359.58
2024-10-18,East,Office Supplies,1556.52,295.12
2024-03-31,West,Office Supplies,874.56,99.19
2024-08-29,East,Office Supplies,246.45,19.56
2024-12-26,Central,Technology,579.17,86.91
2024-11-07,East,Furniture,1606.2,472.99
